_unit_id,sentiment:confidence,text
623495533,1,$AAPL dip only momentarily....just an aberration in the equity world..#AAPL
623495534,0.7244,The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH
623495535,0.6552,@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
623495536,1,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc"
623495537,0.8928,i get the storage almost full notification literally every 5 minutes chill @apple
623495538,0.8558,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n
623495539,0.8701,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle
623495540,0.7244,Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495541,0.5724,Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads
623495542,1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495543,0.7179,Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz
623495544,1,@thehill @Apple i cite the 4th amendment as a retort
623495545,0.6604,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495546,1,RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.
623495547,0.6515,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495548,1,Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1
623495549,1,Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL
623495550,1,"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc"
623495551,1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495552,0.4673,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL
623495553,1,RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed
623495554,0.7453,Nigga update yall headphones @Apple
623495555,1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495556,0.665,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495557,1,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted."
623495558,1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495559,0.501,@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers
623495560,1,@apple U need to get ur fucking shit together and let me txt while on YouTube
623495561,0.6672,@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure
623495562,1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495563,0.6868,@thehill @Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.
623495564,0.6656,#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb
623495565,0.7408,This one chart explains @tim_cook's affect on @Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn
623495566,1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495567,1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495568,0.732,"Final #AAPL #PutCallRatios for Monday, December 1, 2014 http://t.co/EVJC0tNGPJ"
623495569,0.7177,#AAPL Launches Red #Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... http://t.co/crc6VpIELd
623495570,1,hey @apple fuck you
623495571,0.6788,5 Companies Growing Faster Than Apple Inc. http://t.co/PgCG4CkJK9 #AAPL
623495572,1,@apple why doesn't your people explain precautions when buying an expensive laptop
623495573,1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495574,0.6731,@Quailman_ @Apple u was bored huh
623495575,1,RT @wagner_tim: @robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
623495576,1,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple"
623495577,1,@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it
623495578,0.7011,INSPI(RED) by @Apple and @tim_cook on #WorldAIDSDAY. 100% of #AppsforRED in @AppStore go to fight AIDs. Get @Farmville2 and @CSRRacing @RED
623495579,0.7321,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495580,1,16GB @Apple #iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via #EBAY http://t.co/TrkYuoYew7 #CyberMonday #firstworldproblems
623495581,0.8214,Photo: Love IOS 8 @apple @iphone #Love #IOS8 #NoCrop #iphone #young #phone #screen #capturescream #boy... http://t.co/fIDj9FxHDV
623495582,1,Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.
623495583,0.6398,Then how the hell did I take this screenshot? @apple @timcook http://t.co/NvFWwi4JsM
623495584,1,RT @thehill Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/WY4zI6XQtF
623495585,0.6759,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495586,0.5327,Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv
623495587,1,3G is draining my battery fix this @apple
623495588,0.6527,My daughter's @Apple #iPod stolen. To the thief: try working as hard to earn one - like my daughter had to buy hers. #LosingFaithInPeople
623495589,1,@apple your chargers suck ass! They just love to break!
623495590,0.6783,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495591,1,"#AAPL:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX"
623495592,0.6604,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495593,0.7556,I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad
623495594,0.4791,@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!
623495595,1,@aydlettgwyn13 @apple please educate us
623495596,0.7591,RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure
623495597,0.6676,The game #traders play in the name of #market #liquidity #HFT #darkpools #stock #trading #algorithms #AAPL  http://t.co/laKjpr89S8
623495598,1,#AAPL:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx
623495599,1,So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple
623495600,0.7039,Thisn#Yosemite update is stressing me out @apple #macbookpro
623495601,1,Just broke my 3rd charger of the month. Get your shit together @apple
623495602,1,"This iPhone 6 battery isn't as good as you claim, @apple"
623495603,1,#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..
623495604,1,"#iPhone #users face big change over @Apple [#Apple]'s Google search choice. (#Monday, 1 #December) http://t.co/fA3KKjQQdA"
623495605,0.6908,RT @chanchan1717: @aydlettgwyn13 @apple please educate us
623495606,0.6517,"Just updated my ram to 16gb. @apple you guys are like shallow gf's. Take all the money, but dammit you look good."
623495607,1,@apple @iphone4 oh it's not fair and i think you're really mean
623495608,0.6794,#whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime
623495609,1,RT @JodiSpicer: #whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime
623495610,0.7851,IBM: @Apple iOS users account for 21.6% of ALL online sales. 3x @android users (6.6%). They are dominating. #business #sales #cybermonday
623495611,1,I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple
623495612,0.6218,@gr8american23 i've made clear i support rand paul in 2016 in most cases. why is everyone pigeonholed as red or blue? also u like @apple?
623495613,0.6884,@apple why was the iphone 4 ever created
623495614,1,@apple I FUCKING HATE YOU http://t.co/xRxXK0rdot
623495615,0.6573,@apple please can I have new phone for Christmas? #spreadsomejoy
623495616,0.7279,Perfome @apple pie.. http://t.co/eHsgVdej9N
623495617,0.6734,#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks
623495618,0.6442,.@Apple rumoured to be launching a 'Mega Tab' because #biggerisbetter http://t.co/UreeAozPaI
623495619,0.6697,RT  Chayton Falke ChaytonFalke :#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading...
623495620,0.6635,"Apple Inc. PT Upped By Barclays, Morgan Stanley Trims Stake http://t.co/jgysEmQXBl #AAPL"
623495621,1,IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE
623495622,0.7287,"RT @HamzeiAnalytics: New HA Blog Post &gt;&gt;&gt; Final #AAPL #PutCallRatios for Monday, December 1, 2014:  http://t.co/FO160NRHfF"
623495623,0.7079,#AAPL:Jim Cramer's 4 Best Stock Picks for the Health Care Sector...http://t.co/CaQgzX0KiJ
623495624,1,My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple
623495625,1,"Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
623495626,1,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
623495627,1,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
623495628,0.5409,"Myths vs. Reality in Full-Time #Trading http://t.co/JH7BMS1Kgb #stocks
#futures #forex #trader #es #nq #cl #aapl #gpro #finance #eSignal"
623495629,0.6624,My laptop was completely dead and blacked out for 2 days &amp; I finally opened the inside and fixed it. Hire me @Apple
623495630,1,@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care... #appleemojissuck
623495631,1,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
623495632,1,RT @toricolelli: My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple
623495633,0.7053,"#Apple (NASDAQ: #AAPL) Participates in World Aids Day Campaign: http://t.co/YytgUGXQNB: #Apple, #AAPL, Campaign... http://t.co/XT3Z1sx0P4"
623495634,1,Well played @apple http://t.co/mGbsxyiA69
623495635,1,Thank you @Apple
623495636,0.6894,Fix it @apple http://t.co/cHoq6LHeHo
623495637,1,RT @_iamGambino: Thank you @Apple
623495638,1,How long does it really take for a phone to ship @apple smh
623495639,1,@Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE
623495640,1,RT @smartoutsource1: @Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE
623495641,1,Lol dying @apple http://t.co/EP8hQb2O2H
623495642,0.5288,#GoPro: What Competition? Part 2 #GPRO  #AAPL #SNE http://t.co/4tgYDYdprt
623495643,1,"So, on my iphone5, the @apple health kit is no longer gathering data.  Sigh."
623495644,0.6806,"Trade $AAPL #FREE Nightly Updates are #posted here on #Twitter, or you can visit the #Trade #AAPL FREE #website here http://t.co/U4TKeApbxF"
623495645,0.6864,Thanks @apple for changing yet another fuck into duck...Thanks.
623495646,0.5339,@Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...  http://t.co/hNuWafq0sI
623495647,1,@brwnskin_beauti cause fuck @apple
623495648,1,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP
623495649,1,if i buy a 16 gb phone i should have 16 GB'S TO USE @apple
623495650,1,fuck you for BREAKING MY MUSIC @apple
623495651,1,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP
623495652,1,"Have #Apple, Inc.'s #iPad Sales Peaked? #AAPL http://t.co/2Wpaib3z9M"
623495653,1,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP
623495654,1,Barclay's #Apple Analyst Joins The Crowd And Increases Price Target - Forbes #aapl http://t.co/6Z1DwxeCpE
623495655,1,just need @apple to come out with a charger cord that keep a charge &amp; don't fall apart http://t.co/VZ8HDbMzlu
623495656,0.681,RT @AMANDAZUCKERMAN: You should be able to forward a voicemail. Why isn't that a thing? @apple
623495657,1,@apple and @facebook I speak for all of humanity; We want to chose what contacts are added to our contacts book from #facebook #thanks
623495658,1,@Apple I h8 everything about u
623495659,1,@apple ur a disgrace
623495660,0.5098,@apple I want my pictures back
623495661,1,My phone is on acid right now @apple fix this
623495662,1,@Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? http://t.co/fW3BoW53dj
623495663,1,@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective
623495664,0.718,"@Apple BTW, I LOVE all of your products.  They rock!  Your power cords are junk.  You seriously need to fix this!"
623495665,1,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP
623495666,0.6894,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495667,1,Yo @Apple fix your shitty iMessage
623495668,0.6544,#AAPL RT @AboveAvalon Apple's Share Repurchases Have Benefited Shareholders by $80 Billion  http://t.co/XHkqFr7whT
623495669,0.6373,"Even With Apple Watch Delayed, I'm Raising My AAPL Price Target To $165 - http://t.co/TGENjFl3zI #AAPL #Alex_Cho"
623495670,1,I love @AIRMILES! Between @chaptersindigo &amp; @apple I earned ~200 miles during the #BlackFriday sale! #freemoney #centsability #cybermonday
623495671,1,Yo! @apple this auto correct shit gotta stop!!! changing my shit right when i send it
623495672,1,First @Apple logo was designed by co-founder Ronald Wayne. Drawing of Isaac Newton reading a book under an apple tree
623495673,1,Those** PICK UP THE SLACK YOU FUCK BOYS @Apple
623495674,0.4978,Why is it that the no firm has acquired the bloomberg terminal service yet  #aapl? I wish it had a #goog search function.
623495675,0.6635,@surface maybe good product but never better then @apple MacBook Air .... It's a fact
623495676,1,fucking faggots @apple
623495677,0.6635,@Apple of course that's not their mother fucking @
623495678,0.6816,Apple Inc. Store Logos Turn Red For World AIDS Day http://t.co/nsBtAl4g75 #AAPL
623495679,1,the fuck kinda gay shit you print in the fucking ketosis @apple
623495680,1,Game*** @Apple you bitches really trying me tonight! RT @DreMacsAMillion: @WhoSFlyy__ gams night gawd
623495681,1,Apple CEO Tim Cook comes out as gay @Apple   http://t.co/euFQQpMjj6  Via @posh360_Net
623495682,1,RT @bella_bong_: @apple U need to get ur fucking shit together and let me txt while on YouTube
623495683,0.7206,@apple @Disney Why can't I buy any version let alone the version I actually like of Star Wars on @iTunesMovies #stupid #lame #StarWars
623495684,0.6518,@Apple @tim_cook Perhaps a less malleable metal for the shell of the #iPhone6SPlus. #noticedsomecurve
623495685,1,MacBook Pro 13   Non-retina First Startup: http://t.co/9l6RK2OLq2 via @youtube @apple #macbook #macbookpro #startup #hipster
623495686,1,MacBook Pro 13in Unboxing: http://t.co/F3IM9YbpxF via @youtube @apple #macbook #macbookpro #startup #hipster #unboxing
623495687,1,iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing
623495688,0.6491,iPad Mini First Time Startup!: http://t.co/vGHN798zzs via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unbox
623495689,0.6765,@apple where the iPod 6 at doe?
623495690,0.6827,"Can @apple drop Audio Only rendition requirement for iOS apps? 
Users hate it 
No other stores want it
Other platforms don't know what it is"
623495691,0.8539,"None too happy with @Apple Mac OS X (Yosemite), File Vault 2, or Boot Camp right now. Thankful to own a @lenovo."
623495692,1,"#iPhone6S to #emerge spring 2015 with @Apple [#Apple] Watch?. (#Tuesday, 2 #December) http://t.co/NnGLuvYW6M"
623495693,1,All my Apps on @apple #ipodtouch5thgen http://t.co/cRhwdbSxSx http://t.co/UNpPU4zrRq
623495694,0.6882,I demand there be a tapatio emoji @apple
623495695,1,My apps @apple #ipodtouch5thgen http://t.co/ttEzGarBXd http://t.co/8bUawltG4i
623495696,0.679,"#AAPL:
Call America for free until Christmas: Tesco cuts costs for relaunch...
http://t.co/ujvbkQVfqj"
623495697,0.7284,so for the second time #aapl #pages ate my edits. 700bn? #amateurs #fail #iwantjobsback
623495698,1,feel so lost with out my phone :(  @apple iPhone 5 chargers are horrendous! #brokenchargerprobs
623495699,1,#AAPL:Apple heads to trial over digital music claims...http://t.co/vOpYSuiVKi
623495700,0.7248,Excellent news #HouseOfCards S3 on @netflix 27/2! I wonder if Yosemite &amp; my wifi will be talking by then @apple @tim_cook ? It's been wks!!
623495701,1,@apple my laptop is burning my legs what do u have to say about this
623495702,0.667,@benh4ll @netflix @Apple @tim_cook Great news! hope your wifi gets sorted though!
623495703,1,The Secret of Life from Steve Jobs in 46 Seconds. Some #motivation from the late CEO of @apple http://t.co/7UOYKec9YN
623495704,1,10 best #SteveJobs #apple #aapl #tech30 http://t.co/FkrkG1iF7g via
623495705,0.6826,@HammerArcade This makes me feel so sad ;-; WHY DO U HAVE TO BE SO ROOD @APPLE
623495706,1,I hate these @apple earphones so bad. Why in the world did they think it was a good idea to p http://t.co/X7lIGAQeG5 http://t.co/ihR2OGZa6s
623495707,1,@QuentinNield @Apple I need to reinstall on my Apple iPad 2
623495708,1,"@Apple, I salut you! @kcdenton's photo http://t.co/nmwlvZVjHS"
623495709,1,MacBook Pro 13   Non-retina First Startup: http://t.co/9l6RK2OLq2 via @youtube @apple #macbook #macbookpro #startup #hipster
623495710,1,MacBook Pro 13in Unboxing: http://t.co/F3IM9YbpxF via @youtube @apple #macbook #macbookpro #startup #hipster #unboxing
623495711,0.665,iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing
623495712,0.667,iPad Mini First Time Startup!: http://t.co/vGHN798zzs via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unbox
623495713,0.7651,"Smartphone/tablet to become home automation hub, how can any wireless protocol beat #WiFi and #Bluetooth @apple #Homekit @ShortcutLabs #flic"
623495714,1,Options Outlook Amid Heavy Week Of Economic Events http://t.co/J7hj76F2sG #AAPL #GOOG #GOOGL #TSLA #WMT #PreMarket #Markets
623495715,0.6758,Why you dying so fast phone? Fuck you @apple
623495716,0.6681,@remuuusss @apple fix this
623495717,1,"It's been said 'don't talk about politics', But I can't take it anymr. I'll still post about @cisco, @apple and others. But we need change."
623495718,0.6697,"holy shit what have I missed what did Obama do this time 
#stocks #NASDAQ #NYSE #AAPL #DOWJ http://t.co/ZMKp6xyJk4"
623495719,0.7016,Does anybody knows how to use å£ on a Macbook Pro Retina US keyboard? Thank you so much! @apple #macbook #pro #apple #keyboard
623495720,0.6538,The best guest behind Apple's rapid stock price decline yesterday is algorithmic trading. $40bn wiped off by automatic computer trades #AAPL
623495721,0.9144,@Apple awarded #patent 4 #augmented reality devices w #transparent #displays - http://t.co/uwfnVajgU7 http://t.co/yuhQsR8lOb
623495722,1,@apple #apple #iphone @iphone #iphone4s #iphone4problems  SOMEONE FUCKING HELP ME SOMEONE WHO WORKS AT APPLE FUCKING HELP ME DO UR JOB CUNTS
623495723,1,"WTF @Apple, synching notes or iCloud pages is unusable. It used to be easier."
623495724,1,#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks
623495725,1,hey @apple fuck you just let me change stores
623495726,1,about to write a huge fuck you to @apple for not letting me make reservations to get my laptop fixed
623495727,0.6631,"Apple tumbles as much as 6 percent in unusual trading $AAPL #aapl
http://t.co/0wtDVpBm4u"
623495728,1,"@angusdick yes, had that exact issue. Took it to @apple for a free battery replacement. Trackpad ended up being fine."
623495729,0.532,@JimCramer Says 'Machines' Caused @Apple's Big Drop $AAPL  http://t.co/pfzq1N52hH
623495730,0.6387,@maxscottslade @Apple yeah the trackpad is fine and working now! but I had to damage one of the screw holdings to get the battery out
623495731,1,"Video Shows Size of 12.2-Inch 'iPad Air Plus' Mockup Next to iPhones, iPads, and MacBook http://t.co/B3V5X45stZ #AAPL"
623495732,1,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
623495733,1,@Apple #fail - Since updating my #ipad #OS there is a #bug that does not delete videos and free up memory forcing... http://t.co/AjdDTF19Nn
623495734,0.6635,"Apple Opening New Retail Store in Toledo, Ohio Saturday, December 6 [Mac Blog] http://t.co/ynkgEl9JSL #AAPL"
623495735,1,"Why Morgan Stanley Is Negative On Apple And The Tech Sector $AAPL #aapl
http://t.co/wARhEy9ueH"
623495736,0.4806,"Google Is Now Beating Apple In This One Key Sector $AAPL #aapl
http://t.co/WvcXxxXlds"
623495737,0.6678,"BBC News - Evidence by late Steve Jobs to be used in music trial
#AAPL

http://t.co/I6DXPPUWJy"
623495738,1,my alarm was set the ringer was on and it just refused to work fuck u @apple
623495739,1,@twitter @facebook @AlibabaTalk @google @Apple n more in race to win payments? What's future of #payments start-ups? @microsave @FinTechHub
623495740,0.6658,"I'm lost because it's deer season, but there is no deer emoji. Come on @Apple, how am I suppose to show the love to all my huntin' friendz?"
623495741,1,@NeimanMarcus utilizing iBeacons for #engagement to send messages to @Apple Passbook #personalization http://t.co/CVNq0lUhNO via @pymnts
623495742,1,Technology News: @Apple trial to feature unseen late #SteveJobs video deposition http://t.co/YVyoTpdMZP
623495743,0.6672,@Apple I figured out #memory issue on my #ipad. It wasnt a #bug but a new hidden folder that stores our  images... http://t.co/vEKIE3qlDp
623495744,1,We will be in room 1215 at 3:15 today presenting on our experience with @Apple DEP and @JAMFSoftware   #herewegolakers
623495745,1,#AAPL:Pacific Crest's Apple Analyst Reiterates Selling Some Shares...http://t.co/zj974XddLN
623495746,0.7364,"Pacific Crest's Apple Analyst Reiterates Selling Some Shares $AAPL #aapl
http://t.co/WMosfzhzZi"
623495747,0.7119,"#AppleLawSuit Depends on exactly what @Apple did to hold back/beat their competition. There are fair game competitive tactics &amp; unfair 1s
YK"
623495748,0.7201,"#AAPL:
    Audio: Auto sales due; Apple lawsuit heads to court...http://t.co/Kvb1L61oLN"
623495749,0.6861,Apple's PT raised by Canaccord Genuity to $135.00. buy rating. http://t.co/Nh2vs5lzoE $AAPL #AAPL
623495750,0.7089,Apple's PT raised by Canaccord Genuity to $135.00. buy rating. http://t.co/Tb5dmDEjeA $AAPL #AAPL
623495751,1,"IPhone6 has too many issues,  why tf is the earphone plug in not working @apple u better fix this shit for free."
623495752,1,"Cheap Chromebooks teach Apple a lesson: Price matters $AAPL #aapl
http://t.co/GUC5yr4cMf"
623495753,0.7253,"@mcmillanstu @D1PZ... But trying to get launch info ahead of time from telco marketing teams was a nightmare - thanks @apple!
#EcomChat"
623495754,0.7011,Benzinga's Top #PreMarket Losers http://t.co/vfUSrHxQX0 #AAPL #GOLD #NEM #News #NVAX #PreMarket #Markets
623495755,1,Dear @apple replace my phone my battery sucks
623495756,1,#Apple heads to trial over iTunes update #AAPL http://t.co/BevWxGyCVk
623495757,1,From beyond the grave! RT @GMA: Jurors set 2 hear fr star witness at @Apple trial: Steve Jobs. http://t.co/kehRY5VYAS http://t.co/KgvFdBtF7S
623495758,0.7263,.@Apple heads to trial over digital music claims $APPL #tech
623495759,1,"Fantastic service today @Apple store Touchwood - thanks to all, &amp; esp Zach for sorting my battery problem so quickly &amp; efficiently."
623495760,0.734,"Here's why Apple dropped $AAPL #aapl
http://t.co/QOa336kFYs"
623495761,1,"APPLE Intraday Comments - Pre-Opening - PREMIUM USERS  #aapl #Stockaction #trading #Stocks #MKt
http://t.co/G0TeDLCB9z"
623495762,1,@losskitty @Apple its always like that with new products from apple
623495763,1,RT @laurrynk: Dear @apple replace my phone my battery sucks
623495764,1,"@ThisDueeMarco @Apple thats annoying, they never get stuff right the first time."
623495765,0.6774,@jimcramer What is going on with #aapl....
623495766,0.6515,"Apple Lower as Analyst Sees Risk of Sharp Production Cuts for iPhone 6 Plus in Q1 $AAPL #aapl
http://t.co/SqEtCeOJPQ"
623495767,0.6613,"RT @JPDesloges: Apple Lower as Analyst Sees Risk of Sharp Production Cuts for iPhone 6 Plus in Q1 $AAPL #aapl
http://t.co/SqEtCeOJPQ"
623495768,0.6758,RT @laurrynk: Dear @apple replace my phone my battery sucks
